UF;Município;Região
RO;Alta Floresta D´oeste;Região Norte
RO;Ariquemes;Região Norte
RO;Cabixi;Região Norte
RO;Cacoal;Região Norte
RO;Cerejeiras;Região Norte
RO;Colorado do Oeste;Região Norte
RO;Corumbiara;Região Norte
RO;Costa Marques;Região Norte
RO;Espigão D´oeste;Região Norte
RO;Guajará-mirim;Região Norte
RO;Jaru;Região Norte
RO;Ji-paraná;Região Norte
RO;Machadinho D´oeste;Região Norte
RO;Nova Brasilândia D´oeste;Região Norte
RO;Ouro Preto do Oeste;Região Norte
RO;Pimenta Bueno;Região Norte
RO;Porto Velho;Região Norte
RO;Presidente Médici;Região Norte
RO;Rio Crespo;Região Norte
RO;Rolim de Moura;Região Norte
RO;Santa Luzia D´oeste;Região Norte
RO;Vilhena;Região Norte
RO;São Miguel do Guaporé;Região Norte
RO;Nova Mamoré;Região Norte
RO;Alvorada D´oeste;Região Norte
RO;Alto Alegre Dos Parecis;Região Norte
RO;Alto Paraíso;Região Norte
RO;Buritis;Região Norte
RO;Novo Horizonte do Oeste;Região Norte
RO;Cacaulândia;Região Norte
RO;Campo Novo de Rondônia;Região Norte
RO;Candeias do Jamari;Região Norte
RO;Castanheiras;Região Norte
RO;Chupinguaia;Região Norte
RO;Cujubim;Região Norte
RO;Governador Jorge Teixeira;Região Norte
RO;Itapuã do Oeste;Região Norte
RO;Ministro Andreazza;Região Norte
RO;Mirante da Serra;Região Norte
RO;Monte Negro;Região Norte
RO;Nova União;Região Norte
RO;Parecis;Região Norte
RO;Pimenteiras do Oeste;Região Norte
RO;Primavera de Rondônia;Região Norte
RO;São Felipe D´oeste;Região Norte
RO;São Francisco do Guaporé;Região Norte
RO;Seringueiras;Região Norte
RO;Teixeirópolis;Região Norte
RO;Theobroma;Região Norte
RO;Urupá;Região Norte
RO;Vale do Anari;Região Norte
RO;Vale do Paraíso;Região Norte
AC;Acrelândia;Região Norte
AC;Assis Brasil;Região Norte
AC;Brasiléia;Região Norte
AC;Bujari;Região Norte
AC;Capixaba;Região Norte
AC;Cruzeiro do Sul;Região Norte
AC;Epitaciolândia;Região Norte
AC;Feijó;Região Norte
AC;Jordão;Região Norte
AC;Mâncio Lima;Região Norte
AC;Manoel Urbano;Região Norte
AC;Marechal Thaumaturgo;Região Norte
AC;Plácido de Castro;Região Norte
AC;Porto Walter;Região Norte
AC;Rio Branco;Região Norte
AC;Rodrigues Alves;Região Norte
AC;Santa Rosa do Purus;Região Norte
AC;Senador Guiomard;Região Norte
AC;Sena Madureira;Região Norte
AC;Tarauacá;Região Norte
AC;Xapuri;Região Norte
AC;Porto Acre;Região Norte
AM;Alvarães;Região Norte
AM;Amaturá;Região Norte
AM;Anamã;Região Norte
AM;Anori;Região Norte
AM;Apuí;Região Norte
AM;Atalaia do Norte;Região Norte
AM;Autazes;Região Norte
AM;Barcelos;Região Norte
AM;Barreirinha;Região Norte
AM;Benjamin Constant;Região Norte
AM;Beruri;Região Norte
AM;Boa Vista do Ramos;Região Norte
AM;Boca do Acre;Região Norte
AM;Borba;Região Norte
AM;Caapiranga;Região Norte
AM;Canutama;Região Norte
AM;Carauari;Região Norte
AM;Careiro;Região Norte
AM;Careiro da Várzea;Região Norte
AM;Coari;Região Norte
AM;Codajás;Região Norte
AM;Eirunepé;Região Norte
AM;Envira;Região Norte
AM;Fonte Boa;Região Norte
AM;Guajará;Região Norte
AM;Humaitá;Região Norte
AM;Ipixuna;Região Norte
AM;Iranduba;Região Norte
AM;Itacoatiara;Região Norte
AM;Itamarati;Região Norte
AM;Itapiranga;Região Norte
AM;Japurá;Região Norte
AM;Juruá;Região Norte
AM;Jutaí;Região Norte
AM;Lábrea;Região Norte
AM;Manacapuru;Região Norte
AM;Manaquiri;Região Norte
AM;Manaus;Região Norte
AM;Manicoré;Região Norte
AM;Maraã;Região Norte
AM;Maués;Região Norte
AM;Nhamundá;Região Norte
AM;Nova Olinda do Norte;Região Norte
AM;Novo Airão;Região Norte
AM;Novo Aripuanã;Região Norte
AM;Parintins;Região Norte
AM;Pauini;Região Norte
AM;Presidente Figueiredo;Região Norte
AM;Rio Preto da Eva;Região Norte
AM;Santa Isabel do Rio Negro;Região Norte
AM;Santo Antônio do Içá;Região Norte
AM;São Gabriel da Cachoeira;Região Norte
AM;São Paulo de Olivença;Região Norte
AM;São Sebastião do Uatumã;Região Norte
AM;Silves;Região Norte
AM;Tabatinga;Região Norte
AM;Tapauá;Região Norte
AM;Tefé;Região Norte
AM;Tonantins;Região Norte
AM;Uarini;Região Norte
AM;Urucará;Região Norte
AM;Urucurituba;Região Norte
RR;Amajari;Região Norte
RR;Alto Alegre;Região Norte
RR;Boa Vista;Região Norte
RR;Bonfim;Região Norte
RR;Cantá;Região Norte
RR;Caracaraí;Região Norte
RR;Caroebe;Região Norte
RR;Iracema;Região Norte
RR;Mucajaí;Região Norte
RR;Normandia;Região Norte
RR;Pacaraima;Região Norte
RR;Rorainópolis;Região Norte
RR;São João da Baliza;Região Norte
RR;São Luiz;Região Norte
RR;Uiramutã;Região Norte
PA;Abaetetuba;Região Norte
PA;Abel Figueiredo;Região Norte
PA;Acará;Região Norte
PA;Afuá;Região Norte
PA;Água Azul do Norte;Região Norte
PA;Alenquer;Região Norte
PA;Almeirim;Região Norte
PA;Altamira;Região Norte
PA;Anajás;Região Norte
PA;Ananindeua;Região Norte
PA;Anapu;Região Norte
PA;Augusto Corrêa;Região Norte
PA;Aurora do Pará;Região Norte
PA;Aveiro;Região Norte
PA;Bagre;Região Norte
PA;Baião;Região Norte
PA;Bannach;Região Norte
PA;Barcarena;Região Norte
PA;Belém;Região Norte
PA;Belterra;Região Norte
PA;Benevides;Região Norte
PA;Bom Jesus do Tocantins;Região Norte
PA;Bonito;Região Norte
PA;Bragança;Região Norte
PA;Brasil Novo;Região Norte
PA;Brejo Grande do Araguaia;Região Norte
PA;Breu Branco;Região Norte
PA;Breves;Região Norte
PA;Bujaru;Região Norte
PA;Cachoeira do Piriá;Região Norte
PA;Cachoeira do Arari;Região Norte
PA;Cametá;Região Norte
PA;Canaã Dos Carajás;Região Norte
PA;Capanema;Região Norte
PA;Capitão Poço;Região Norte
PA;Castanhal;Região Norte
PA;Chaves;Região Norte
PA;Colares;Região Norte
PA;Conceição do Araguaia;Região Norte
PA;Concórdia do Pará;Região Norte
PA;Cumaru do Norte;Região Norte
PA;Curionópolis;Região Norte
PA;Curralinho;Região Norte
PA;Curuá;Região Norte
PA;Curuçá;Região Norte
PA;Dom Eliseu;Região Norte
PA;Eldorado Dos Carajás;Região Norte
PA;Faro;Região Norte
PA;Floresta do Araguaia;Região Norte
PA;Garrafão do Norte;Região Norte
PA;Goianésia do Pará;Região Norte
