classificacao|comentario
negativo|http://febremania.com.br Gusttavo Lima tenta sair do fundo do poço em Saudade Sua http://dlvr.it/RWqDqm Febre Mania - A Rádio mais quente da Web! A Rádio mais quente da Web! febremania.com.br
negativo|Em resposta a @pgpredileto @Metropoles e 2 outros O maior problema não é contaminação, o maior problema são os governadores e prefeitos que insistem em não liberar a hidroxicloroquina para as pessoas com covid-19 no momento em que elas tivessem sentido falta de ar. Farmácias italianas distribuem gratuitamente a hidroxicloroquina para pacientes com covid-19... Após um período em que a hidroxicloroquina foi utilizada em mais de um protocolo para o tratamento do coronavírus chinês, o Plaquenil, nome comercial da hidroxicloroquina, agora chega diretamente às... conexaopolitica.com.br
negativo|"Em resposta a @TVHDOzzy e @profpaulamarisa mostra... ""A água do mar ajuda a limpar os pulmões. O simples fato de expirarmos o ar quando mergulhamos já ajuda a limpar os brônquios e a inspiração da brisa ajuda nossos pulmões a eliminar a tosse com expectoração, catarro e asma."
negativo|Eu espirrando quando acordo, e minha mãe vendo se eu tô com febre ou fazendo trilhões de pergunta se estou com algum sintoma do corona Citar Tweet Bichinhos fofinhos pra quem ta cansado de política · 22 h Rinite é foda 575,7 mil visualizações 0:00 / 0:
negativo|não sei se é a glicerina que passei na cara ou se tô ficando com febre, só sei que tô mais quente kkk mas tbm, lavei o cabelo e fiquei na janela nesse frio
negativo|provavelmente ninguém vai se importar. estou no hospital, não sei se é sério. estou com muita falta de ar, febre e muita dor no peito! os médicos disseram que poderia ser meu coração com o tamanho da saudade que estou de ver lionel messi jogar.
negativo|Em resposta a @plutwyodd FEBRE VEIKKKKKKKKJJ é meme ta
negativo|Em resposta a @GrippaMatheus e @barcellosbel Ja peguei coisa pior que o corona e ainda fingi demencia
negativo|Tenho medo de ter um ataque de ansiedade a meio da noite e a minha mão está cheia de sangue, eu estou com falta de ar e tenho medo de ir pegar a bomba
negativo|estou começando a sentir saudade das pessoas a ponto de querer fazer chamada de vídeo so pra ver o rosto, conversar........ corona eu vou acabar com vc com minhas proprias moes !!!!!
negativo|Em resposta a @leandra_bru Até falta de ar me deu... quando eu lembro q falta de ar é um dos sintomas do corona A mídia a seguir inclui conteúdo possivelmente sensível. Alterar configurações Ver
negativo|a veia ia morrer na segunda tosse
negativo|pq esses umidificador de ar viraram uma febre? eh moda ficar com o quarto todo mofado? qual foi
negativo|Em resposta a @sonneinti quer namorar comigo
negativo|Acho q ja peguei covid 3 vzs, lembrando aqui os dias q fiquei zuada................
negativo|37.6 é febre?
negativo|Mc Magrinho era febre Citar Tweet musicas que lembram alguma fase da vida @musicasfasess · 7 h Mc Magrinho - Senta em mim xerecao Mostrar esta sequência 1:37 34,8 mil visualizações
negativo|Em resposta a @larari17 Olha o corona ahah tosse-lhes em cima
negativo|o corona vírus nunca me assustouuuuuuuuu eu já peguei coisa pior e ainda chamei de amooooor
negativo|Em resposta a @DynastyDriven e @Breaking911 Eu não estou me sentindo melhor com máscara, estou me sentindo ridícula na verdade. Uso porque estão me obrigando, senão não consigo trabalhar, ir ao mercado. Não tenho medo de corona vírus nenhum, isso é uma experiência de engenharia social, é esse Dr aí é um psicopata
negativo|eu realmente não sei se as vezes que acordei com falta de ar era ansiedade ou pq eu já estou com covid
negativo|Em resposta a @lingolingooo_ Ess matéria é de Março. Essa semana saíram estudos afirmando que existem novos sintomas comprovados do COVID19, entre eles: perda de olfato e paladar, arrepios, dor muscular, dor de cabeça forte, diarreia, distúrbios gastrointestinais, etc...
negativo|Toda vez que eu coloco a mascara por 2 minutos eu sinto falta de ar, eu lembro que em festa eletrônica eu fico com a bandana por horas. Fico pensando como que eu consigo pq sinceramente sã não dá
negativo|esse frio eu sabia que o momento da falta de ar e nebulização ia chegar mas eu morro aqui sem respirar e não levanto pra fazer
negativo|Ansiedade n me deixa nem chorar sem começar a tremer e sentir falta de ar
negativo|#cironailhadebarbados Já peguei a pipoca Citar Tweet Ciro Jones @jones_ciro · 23 h Cirão barbudo na Ilha de Barbados #cironailhadebarbados
negativo|Em resposta a @PORCOSEP1999 Tudo bem, você pode odiar o Bolsonaro com todo seu coração. Mas a ação foi da polícia carioca. Não estou defendendo e nem passando pano pro que houve só que não é alçada dele.
