id,username,city,state,region,geo
1,@00fakeorgasm00,São Paulo,SP,Região Sudeste,"-23.5338633880999,-46.6403182226843"
2,@01_tatielly,Praia Grande,SP,Região Sudeste,"-24.0088591924201,-46.4124560039531"
3,@0301Clarinha,Salvador,BA,Região Nordeste,"-12.972681151285999,-38.501707683196"
4,@09_thayany,Santa Cruz,RN,Região Nordeste,"-6.22516518618205,-36.0195925753358"
5,@0criatividaders,Manaus,AM,Região Norte,"-3.1194301771900896,-60.0221093878098"
6,@0eemilly,Jesuítas,PR,Região Sul,"-24.3843808144387,-53.3853651096279"
7,@10_Colorada_,Vacaria,RS,Região Sul,"-28.5083466091464,-50.94223668207521"
8,@10centavo,Salvador,BA,Região Nordeste,"-12.972681151285999,-38.501707683196"
9,@10matheusmoura,Itaboraí,RJ,Região Sudeste,"-22.756989900669303,-42.8642753982773"
10,@13Nicollydias,Guarulhos,SP,Região Sudeste,"-23.4542372278899,-46.5337451474112"
11,@13_nycolas,Santos,SP,Região Sudeste,"-23.9540242306511,-46.3354403061774"
12,@16KellyCardoso,Paraíba do Sul,RJ,Região Sudeste,"-22.1589447941044,-43.3043759637246"
13,@16th1989,Rio de Janeiro,RJ,Região Sudeste,"-22.9138683111265,-43.2010414947482"
14,@171juliana9,São João de Meriti,RJ,Região Sudeste,"-22.8062608831173,-43.3732941906965"
15,@1903_amandinha,Porto Alegre,RS,Região Sul,"-30.032731616135106,-51.2074411947153"
16,@1903bina,Venâncio Aires,RS,Região Sul,"-29.6147822514602,-52.19361763175421"
17,@1995deagosto,Maringá,PR,Região Sul,"-23.4210097512809,-51.93373105595101"
18,@1FRESCO_,Atibaia,SP,Região Sudeste,"-23.117537147628003,-46.556659303318796"
19,@1bruninha__,São Luís,MA,Região Nordeste,"-2.53951514746143,-44.2832158364691"
20,@1jackp_,Fortaleza,CE,Região Nordeste,"-9.80560422720153,-65.526657119746"
21,@1laranjada,Salvador,BA,Região Nordeste,"-12.972681151285999,-38.501707683196"
22,@1vbanana,São Paulo,SP,Região Sudeste,"-23.5338633880999,-46.6403182226843"
23,@1mariagodoy,Recife,PE,Região Nordeste,"-8.04750898689904,-34.8776414904569"
24,@1x_gabriel,Cabo de Santo Agostinho,PE,Região Nordeste,"-8.28260686269251,-35.0255825235068"
25,@1xibiu,Aracaju,SE,Região Nordeste,"-10.9100146308586,-37.068273963857706"
26,@1pretom,Salvador,BA,Região Nordeste,"-12.972681151285999,-38.501707683196"
27,@1sininhooo,Araranguá,SC,Região Sul,"-28.9360991441822,-49.49224683345661"
28,@1tsdani,Palmas,TO,Região Norte,"-26.484339390946,-51.9892562555805"
29,@2017Junia,Rio de Janeiro,RJ,Região Sudeste,"-22.9138683111265,-43.2010414947482"
30,@21_joseaugusto,Belém,PA,Região Norte,"-6.7434595215496,-35.5172208801456"
31,@29Lendario,Balneário Camboriú,SC,Região Sul,"-26.9930767528523,-48.635576321370706"
32,@1nunes_,Porto Alegre,RS,Região Sul,"-30.032731616135106,-51.2074411947153"
33,@2Mporto,Itapemirim,ES,Região Sudeste,"-21.009995882541197,-40.83102019486"
34,@2mgclonazepam,Porto Alegre,RS,Região Sul,"-30.032731616135106,-51.2074411947153"
35,@2nb4you,Vila Velha,ES,Região Sudeste,"-20.3421870888842,-40.287803385123"
36,@2pHNNBL,São Paulo,SP,Região Sudeste,"-23.5338633880999,-46.6403182226843"
37,@30_GabrielSilva,Lauro Muller,SC,Região Sul,"-28.386382741250202,-49.4039152345201"
38,@321_raquel,Castelo,ES,Região Sudeste,"-20.6037365165973,-41.2034859783311"
39,@404err0r_,Brasília,DF,Região Centro-Oeste,"-15.780420857709,-47.930434270556"
40,@666maupi,São Luís,MA,Região Nordeste,"-2.53951514746143,-44.2832158364691"
41,@6ixzin,Taboão da Serra,SP,Região Sudeste,"-23.602346108550602,-46.7530370879862"
42,@7Gati7,Taubaté,SP,Região Sudeste,"-23.0108942988313,-45.559650154270706"
43,@4jose_samoel4,Florianópolis,SC,Região Sul,"-27.5954547370575,-48.5485480467415"
44,@4rtucoe,Rio de Janeiro,RJ,Região Sudeste,"-22.9138683111265,-43.2010414947482"
